ID,,State,County,Business Name,Search Tag,Latitude,Longitude
0,,Maryland,Allegany,Simple Pleasures,Entertainment,42.0860539,-78.4939937
1,,Maryland,Allegany,Other Place,Entertainment,42.0917952,-78.4970251
2,,Maryland,Allegany,Randy's Up The River,Entertainment,42.0898906,-78.5026428
3,,Maryland,Allegany,The Hickey Tavern,Entertainment,42.0920997,-78.4968705
4,,Maryland,Allegany,Brickhouse Bar andand Grill,Entertainment,42.0936514,-78.499459
5,,Maryland,Allegany,Robert A Livingston Community Center,Entertainment,42.0950584,-78.5002746
6,,Maryland,Allegany,AMC Allegany 8,Entertainment,42.0806318,-78.46587
7,,Maryland,Allegany,Ink Well,Entertainment,42.090984,-78.4961211
8,,Maryland,Allegany,Allegany Massage Therapy,Entertainment,42.09268,-78.497296
9,,Maryland,Allegany,J andand D Scuba Travel Club,Entertainment,42.0878718,-78.493846
10,,Maryland,Allegany,Allegany River Park,Entertainment,42.0911566,-78.498958
11,,Maryland,Allegany,Grand Slam Grill,Entertainment,42.077455,-78.4716157
12,,Maryland,Allegany,Hello Gorgeous Salon and Spa,Entertainment,42.0915806,-78.4967827
13,,Maryland,Allegany,Friends Of Good Music,Entertainment,42.0799022,-78.4845212
14,,Maryland,Allegany,Woodside Tavern on the Range,Entertainment,42.0691,-78.4825224
15,,Maryland,Allegany,Cyberstation - Powered by Pac-Man Entertainment,Entertainment,42.0824068,-78.4270534
16,,Maryland,Allegany,Allegany Public Library,Entertainment,42.092032,-78.496725
17,,Maryland,Allegany,Regina A. Quick Center for the Arts,Entertainment,42.0802619,-78.483047
18,,Maryland,Allegany,L'Image Salon,Entertainment,42.0898584,-78.4938609
19,,Maryland,Allegany,St Bonaventure University Golf Club,Entertainment,42.084988,-78.478841
20,,Maryland,Allegany,Allegany River Park,Parks,42.0911566,-78.498958
21,,Maryland,Allegany,Gargoyle Park,Parks,42.0676115,-78.4691559
22,,Maryland,Allegany,Allegany State Park,Parks,42.0625762,-78.7601342
23,,Maryland,Allegany,Oak Hill Park,Parks,42.079551,-78.4364702
24,,Maryland,Allegany,Franchot Park,Parks,42.0717922,-78.4322061
25,,Maryland,Allegany,Rock City Park,Parks,42.0172923,-78.4759048
26,,Maryland,Allegany,Red House Beach at Allegany State Park,Parks,42.0995479,-78.740808
27,,Maryland,Allegany,Forness Park,Parks,42.0744721,-78.4165696
28,,Maryland,Allegany,War Veterans Park,Parks,42.0784739,-78.4215725
29,,Maryland,Allegany,"Large Pavillion, Franchot Park",Parks,42.071986,-78.434647
30,,Maryland,Allegany,"Camp Allegany, Allegany State Park",Parks,42.0992286,-78.7228266
31,,Maryland,Allegany,Allegany State Park Quaker Entrance,Parks,42.0457805,-78.8736584
32,,Maryland,Allegany,"Pitt Cottage, Allegany State Park",Parks,42.0901618,-78.7198256
33,,Maryland,Allegany,Riverhurst Park Campground,Parks,42.057187,-78.37149
34,,Maryland,Allegany,Colonial Village,Parks,42.100862,-78.51465
35,,Maryland,Allegany,Allegany State Park Parallel Number 6,Parks,42.0668185,-78.7625584
36,,Maryland,Allegany,"Summit Cabins, Allegany State Park",Parks,42.1254262,-78.7062549
37,,Maryland,Allegany,"Congdon Cabins, Allegany State Park",Parks,42.0919157,-78.7211387
38,,Maryland,Allegany,"Anderson Cabins, Allegany State Park",Parks,42.0962477,-78.7513628
39,,Maryland,Allegany,"Thunder Rocks, Rock City Allegany State Park",Parks,42.0423182,-78.7013722
40,,Maryland,Allegany,Fusion on Main,Restaurants,42.092319,-78.4976001
41,,Maryland,Allegany,Eb's Eatery,Restaurants,42.090087,-78.494015
42,,Maryland,Allegany,Mangia 2.0,Restaurants,42.0913968,-78.4966152
43,,Maryland,Allegany,Birdcage,Restaurants,42.0915322,-78.4961959
44,,Maryland,Allegany,Don Tequila,Restaurants,42.0917133,-78.4962247
45,,Maryland,Allegany,M'Organic Market,Restaurants,42.0926592,-78.4975136
46,,Maryland,Allegany,Brickhouse Bar andand Grill,Restaurants,42.0936514,-78.499459
47,,Maryland,Allegany,Big Fellas Pizza and Deli,Restaurants,42.0933167,-78.4995672
48,,Maryland,Allegany,Randy's Up The River,Restaurants,42.0898906,-78.5026428
49,,Maryland,Allegany,Grand Slam Grill,Restaurants,42.077455,-78.4716157
50,,Maryland,Allegany,Woodside Tavern on the Range,Restaurants,42.0691,-78.4825224
51,,Maryland,Allegany,Applebee's Grill + Bar,Restaurants,42.075921,-78.467887
52,,Maryland,Allegany,Lakeview Chinese Restaurant,Restaurants,42.0772054,-78.4660259
53,,Maryland,Allegany,Perkins Restaurant andand Bakery,Restaurants,42.077311,-78.461853
54,,Maryland,Allegany,QQ Buffet,Restaurants,42.076633,-78.470692
